id;Cod_Municipio;Municipio;long;lat;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996
30001 Abanilla;30001 ;Abanilla;-1.054508124;38.21591377;6,063;6,158;6,184;6,347;6,435;6,560;6,569;6,633;6,585;6,589;6,642;6,568;6,333;6,265;6,145;6,239;6,040;6,033;6,106;6,153;6,065; ;6,130;3,060;3,122;3,143;3,209;3,252;3,318;3,313;3,341;3,319;3,315;3,390;3,350;3,212;3,171;3,084;3,151;3,045;3,030;3,050;3,068;3,005; ;3,026;3,003;3,036;3,041;3,138;3,183;3,242;3,256;3,292;3,266;3,274;3,252;3,218;3,121;3,094;3,061;3,088;2,995;3,003;3,056;3,085;3,060; ;3,104
30002 Abar n;30002 ;Abar n;-1.350210011;38.24811995;13,030;13,089;13,183;13,179;13,086;13,157;13,110;12,986;12,974;12,991;12,987;12,968;12,919;12,917;12,804;12,786;12,632;12,425;12,241;12,177;12,095; ;12,002;6,527;6,578;6,640;6,630;6,563;6,635;6,628;6,575;6,563;6,536;6,526;6,548;6,535;6,512;6,412;6,425;6,348;6,235;6,111;6,046;6,002; ;5,938;6,503;6,511;6,543;6,549;6,523;6,522;6,482;6,411;6,411;6,455;6,461;6,420;6,384;6,405;6,392;6,361;6,284;6,190;6,130;6,131;6,093; ;6,064
30003 µguilas;30003 ;µguilas;-1.559211999;37.44702868;35,031;34,758;34,706;34,772;34,632;34,930;34,828;34,990;34,900;34,533;34,101;33,134;32,450;31,218;30,263;29,642;28,888;28,226;27,559;26,773;26,197; ;25,702;17,490;17,354;17,348;17,376;17,336;17,536;17,511;17,603;17,587;17,426;17,173;16,670;16,324;15,619;15,101;14,822;14,405;14,071;13,719;13,322;13,055; ;12,824;17,541;17,404;17,358;17,396;17,296;17,394;17,317;17,387;17,313;17,107;16,928;16,464;16,126;15,599;15,162;14,820;14,483;14,155;13,840;13,451;13,142; ;12,878
30004 Albudeite;30004 ;Albudeite;-1.374271745;38.03845833;1,361;1,359;1,378;1,374;1,383;1,371;1,404;1,447;1,350;1,369;1,381;1,413;1,402;1,403;1,439;1,358;1,360;1,371;1,369;1,376;1,348; ;1,328;689;694;697;689;691;694;715;731;682;691;692;709;713;716;739;693;692;690;690;684;673; ;666;672;665;681;685;692;677;689;716;668;678;689;704;689;687;700;665;668;681;679;692;675; ;662
30005 Alcantarilla;30005 ;Alcantarilla;-1.229634459;37.97726692;41,622;41,331;41,155;41,021;40,907;40,695;41,381;41,568;41,326;41,084;40,458;39,636;38,584;37,439;36,496;35,916;34,997;34,263;33,453;32,982;32,667; ;31,872;20,539;20,392;20,305;20,239;20,198;20,115;20,498;20,589;20,553;20,484;20,221;19,828;19,312;18,697;18,139;17,845;17,344;16,927;16,464;16,224;16,052; ;15,570;21,083;20,939;20,850;20,782;20,709;20,580;20,883;20,979;20,773;20,600;20,237;19,808;19,272;18,742;18,357;18,071;17,653;17,336;16,989;16,758;16,615; ;16,302
30902 Alc zares, Los;30902 ;Alc zares, Los;-0.850729427;37.75209591;15,674;15,349;15,289;15,605;15,735;16,568;16,251;16,217;15,993;15,619;15,171;14,077;13,355;12,264;11,306;10,396;9,159;8,264;7,513;6,877;6,134; ;5,501;7,994;7,773;7,725;7,930;8,070;8,485;8,339;8,380;8,285;8,094;7,940;7,429;7,060;6,359;5,786;5,346;4,662;4,196;3,783;3,446;3,057; ;2,762;7,680;7,576;7,564;7,675;7,665;8,083;7,912;7,837;7,708;7,525;7,231;6,648;6,295;5,905;5,520;5,050;4,497;4,068;3,730;3,431;3,077; ;2,739
30006 Aledo;30006 ;Aledo;-1.634434476;37.78465317;1,022;945;941;984;986;1,004;1,025;1,044;1,053;1,066;1,055;1,046;1,045;1,058;1,062;1,044;1,029;1,026;997;1,005;1,005; ;991;508;466;466;491;485;499;515;527;533;544;541;536;535;541;543;536;524;527;505;511;511; ;507;514;479;475;493;501;505;510;517;520;522;514;510;510;517;519;508;505;499;492;494;494; ;484
30007 Alguazas;30007 ;Alguazas;-1.259175705;38.05500875;9,525;9,557;9,613;9,544;9,593;9,544;9,460;9,288;9,146;8,978;8,855;8,572;8,177;7,832;7,561;7,387;7,281;7,156;7,052;7,021;6,933; ;6,973;4,896;4,933;4,986;4,956;4,992;4,971;4,936;4,816;4,747;4,685;4,614;4,464;4,229;3,999;3,798;3,713;3,651;3,574;3,513;3,490;3,440; ;3,452;4,629;4,624;4,627;4,588;4,601;4,573;4,524;4,472;4,399;4,293;4,241;4,108;3,948;3,833;3,763;3,674;3,630;3,582;3,539;3,531;3,493; ;3,521
30008 Alhama de Murcia;30008 ;Alhama de Murcia;-1.38507676;37.85735183;21,657;21,448;21,308;21,351;21,298;21,182;20,915;20,725;20,269;19,860;19,417;18,996;18,779;18,331;17,717;17,205;16,682;16,225;15,856;15,640;15,471; ;15,318;10,934;10,864;10,786;10,822;10,817;10,784;10,658;10,601;10,348;10,152;10,016;9,794;9,687;9,409;9,042;8,729;8,439;8,142;7,925;7,823;7,729; ;7,621;10,723;10,584;10,522;10,529;10,481;10,398;10,257;10,124;9,921;9,708;9,401;9,202;9,092;8,922;8,675;8,476;8,243;8,083;7,931;7,817;7,742; ;7,697
