id;Cod_Municipio;Municipio;long;lat;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996
30001 Abanilla;30001;Abanilla;-1.054.508.124;3.821.591.377;6063;6158;6184;6347;6435;6560;6569;6633;6585;6589;6642;6568;6333;6265;6145;6239;6040;6033;6106;6153;6065; ;6130;3060;3122;3143;3209;3252;3318;3313;3341;3319;3315;3390;3350;3212;3171;3084;3151;3045;3030;3050;3068;3005; ;3026;3003;3036;3041;3138;3183;3242;3256;3292;3266;3274;3252;3218;3121;3094;3061;3088;2995;3003;3056;3085;3060;NA;3104
30002 Abar n;30002;Abarán;-1.350.210.011;3.824.811.995;13030;13089;13183;13179;13086;13157;13110;12986;12974;12991;12987;12968;12919;12917;12804;12786;12632;12425;12241;12177;12095; ;12002;6527;6578;6640;6630;6563;6635;6628;6575;6563;6536;6526;6548;6535;6512;6412;6425;6348;6235;6111;6046;6002; ;5938;6503;6511;6543;6549;6523;6522;6482;6411;6411;6455;6461;6420;6384;6405;6392;6361;6284;6190;6130;6131;6093;NA;6064
30003 µguilas;30003;Águilas;-1.559.211.999;3.744.702.868;35031;34758;34706;34772;34632;34930;34828;34990;34900;34533;34101;33134;32450;31218;30263;29642;28888;28226;27559;26773;26197; ;25702;17490;17354;17348;17376;17336;17536;17511;17603;17587;17426;17173;16670;16324;15619;15101;14822;14405;14071;13719;13322;13055; ;12824;17541;17404;17358;17396;17296;17394;17317;17387;17313;17107;16928;16464;16126;15599;15162;14820;14483;14155;13840;13451;13142;NA;12878
30004 Albudeite;30004;Albudeite;-1.374.271.745;3.803.845.833;1361;1359;1378;1374;1383;1371;1404;1447;1350;1369;1381;1413;1402;1403;1439;1358;1360;1371;1369;1376;1348; ;1328;689;694;697;689;691;694;715;731;682;691;692;709;713;716;739;693;692;690;690;684;673; ;666;672;665;681;685;692;677;689;716;668;678;689;704;689;687;700;665;668;681;679;692;675;NA;662
30005 Alcantarilla;30005;Alcantarilla;-1.229.634.459;3.797.726.692;41622;41331;41155;41021;40907;40695;41381;41568;41326;41084;40458;39636;38584;37439;36496;35916;34997;34263;33453;32982;32667; ;31872;20539;20392;20305;20239;20198;20115;20498;20589;20553;20484;20221;19828;19312;18697;18139;17845;17344;16927;16464;16224;16052; ;15570;21083;20939;20850;20782;20709;20580;20883;20979;20773;20600;20237;19808;19272;18742;18357;18071;17653;17336;16989;16758;16615;NA;16302
30902 Alc zares, Los;30902;Alc zares, Los;-0.850729427;3.775.209.591;15674;15349;15289;15605;15735;16568;16251;16217;15993;15619;15171;14077;13355;12264;11306;10396;9159;8264;7513;6877;6134; ;5501;7994;7773;7725;7930;8070;8485;8339;8380;8285;8094;7940;7429;7060;6359;5786;5346;4662;4196;3783;3446;3057; ;2762;7680;7576;7564;7675;7665;8083;7912;7837;7708;7525;7231;6648;6295;5905;5520;5050;4497;4068;3730;3431;3077;NA;2739
30006 Aledo;30006;Aledo;-1.634.434.476;3.778.465.317;1022;945;941;984;986;1004;1025;1044;1053;1066;1055;1046;1045;1058;1062;1044;1029;1026;997;1005;1005; ;991;508;466;466;491;485;499;515;527;533;544;541;536;535;541;543;536;524;527;505;511;511; ;507;514;479;475;493;501;505;510;517;520;522;514;510;510;517;519;508;505;499;492;494;494;NA;484
30007 Alguazas;30007;Alguazas;-1.259.175.705;3.805.500.875;9525;9557;9613;9544;9593;9544;9460;9288;9146;8978;8855;8572;8177;7832;7561;7387;7281;7156;7052;7021;6933; ;6973;4896;4933;4986;4956;4992;4971;4936;4816;4747;4685;4614;4464;4229;3999;3798;3713;3651;3574;3513;3490;3440; ;3452;4629;4624;4627;4588;4601;4573;4524;4472;4399;4293;4241;4108;3948;3833;3763;3674;3630;3582;3539;3531;3493;NA;3521
30008 Alhama de Murcia;30008;Alhama de Murcia;-138.507.676;3.785.735.183;21657;21448;21308;21351;21298;21182;20915;20725;20269;19860;19417;18996;18779;18331;17717;17205;16682;16225;15856;15640;15471; ;15318;10934;10864;10786;10822;10817;10784;10658;10601;10348;10152;10016;9794;9687;9409;9042;8729;8439;8142;7925;7823;7729; ;7621;10723;10584;10522;10529;10481;10398;10257;10124;9921;9708;9401;9202;9092;8922;8675;8476;8243;8083;7931;7817;7742;NA;7697
